referrer,views_total,views_unique
bryceyork.com,23,10
Google,20,15
chatgpt.com,4,2
perplexity.ai,4,1
DuckDuckGo,4,1
github.com,3,2
osssoftware.org,1,1
search.brave.com,1,1
