time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-07 00:00:00+00:00,,,13,5
2024-09-08 00:00:00+00:00,1.0,1.0,138,7
2024-09-09 00:00:00+00:00,1.0,1.0,14,6
2024-09-10 00:00:00+00:00,1.0,1.0,32,3
2024-09-11 00:00:00+00:00,1.0,1.0,56,5
2024-09-12 00:00:00+00:00,,,4,4
2024-09-13 00:00:00+00:00,,,24,6
2024-09-14 00:00:00+00:00,,,1,1
2024-09-15 00:00:00+00:00,,,1,1
2024-09-16 00:00:00+00:00,1.0,1.0,3,2
2024-09-17 00:00:00+00:00,1.0,1.0,16,3
2024-09-18 00:00:00+00:00,,,3,2
2024-09-19 00:00:00+00:00,,,44,8
2024-09-20 00:00:00+00:00,2.0,2.0,10,4
