time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-04 00:00:00+00:00,3.0,3.0,99,9
2024-06-05 00:00:00+00:00,1.0,1.0,5,5
2024-06-06 00:00:00+00:00,31.0,15.0,16,3
2024-06-07 00:00:00+00:00,1.0,1.0,14,10
2024-06-08 00:00:00+00:00,4.0,3.0,48,23
2024-06-09 00:00:00+00:00,,,27,13
2024-06-10 00:00:00+00:00,19.0,10.0,35,14
2024-06-11 00:00:00+00:00,37.0,17.0,46,20
2024-06-12 00:00:00+00:00,3.0,3.0,36,20
2024-06-13 00:00:00+00:00,16.0,8.0,39,14
2024-06-14 00:00:00+00:00,1.0,1.0,22,11
2024-06-15 00:00:00+00:00,1.0,1.0,44,11
2024-06-16 00:00:00+00:00,1.0,1.0,26,16
2024-06-17 00:00:00+00:00,1.0,1.0,20,6
