time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-16 00:00:00+00:00,,,1,1
2025-03-17 00:00:00+00:00,3.0,3.0,16,7
2025-03-18 00:00:00+00:00,1.0,1.0,5,2
2025-03-19 00:00:00+00:00,,,1,1
2025-03-20 00:00:00+00:00,3.0,2.0,5,3
2025-03-21 00:00:00+00:00,,,3,3
2025-03-23 00:00:00+00:00,1.0,1.0,2,2
2025-03-24 00:00:00+00:00,3.0,3.0,16,7
2025-03-25 00:00:00+00:00,,,19,6
2025-03-26 00:00:00+00:00,,,9,6
2025-03-27 00:00:00+00:00,2.0,2.0,10,5
2025-03-28 00:00:00+00:00,,,2,2
2025-03-29 00:00:00+00:00,3.0,2.0,5,1
