referrer,views_total,views_unique
news.ycombinator.com,2360,1725
hckrnews.com,17,17
bryceyork.com,16,3
github.com,7,7
linkedin.com,7,7
devurls.com,7,2
hackerweb.app,6,6
brutalist.report,6,6
Google,4,3
base.usepanda.com,3,3
