referrer,views_total,views_unique
Google,173,25
github.com,18,2
bryceyork.com,8,3
linkedin.com,4,2
news.ycombinator.com,2,2
osssoftware.org,2,1
hnrankings.info,1,1
meetbryce.github.io,1,1
