time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,3,2,1,1
2026-05-06 00:00:00+00:00,0,0,7,4
2026-05-07 00:00:00+00:00,8,7,2,2
2026-05-08 00:00:00+00:00,15,13,3,3
2026-05-09 00:00:00+00:00,4,4,1,1
2026-05-10 00:00:00+00:00,3,3,4,1
2026-05-11 00:00:00+00:00,0,0,9,7
2026-05-12 00:00:00+00:00,292,56,5,3
2026-05-13 00:00:00+00:00,124,39,2,2
2026-05-14 00:00:00+00:00,7,5,3,3
2026-05-15 00:00:00+00:00,4,4,2,2
2026-05-16 00:00:00+00:00,3,3,2,2
2026-05-17 00:00:00+00:00,2,1,1,1
2026-05-18 00:00:00+00:00,5,5,2,2
