referrer,views_total,views_unique
Google,20,13
discuss.pytorch.kr,15,1
chatgpt.com,7,3
bryceyork.com,5,4
gemini.google.com,3,1
github.com,2,2
perplexity.ai,2,1
news.ycombinator.com,1,1
