time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,2,2,16,4
2026-04-30 00:00:00+00:00,63,7,2,2
2026-05-01 00:00:00+00:00,2,2,2,2
2026-05-02 00:00:00+00:00,0,0,1,1
2026-05-03 00:00:00+00:00,5,5,1,1
2026-05-04 00:00:00+00:00,11,8,4,4
2026-05-05 00:00:00+00:00,3,2,1,1
2026-05-06 00:00:00+00:00,0,0,7,4
2026-05-07 00:00:00+00:00,8,7,2,2
2026-05-08 00:00:00+00:00,15,13,3,3
2026-05-09 00:00:00+00:00,4,4,1,1
2026-05-10 00:00:00+00:00,3,3,4,1
2026-05-11 00:00:00+00:00,0,0,9,7
2026-05-12 00:00:00+00:00,292,56,5,3
