time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,21,9,1,1
2026-06-05 00:00:00+00:00,8,4,4,4
2026-06-06 00:00:00+00:00,18,14,1,1
2026-06-07 00:00:00+00:00,0,0,3,1
2026-06-08 00:00:00+00:00,2,2,1,1
2026-06-09 00:00:00+00:00,6,5,2,1
2026-06-10 00:00:00+00:00,6,5,2,2
2026-06-11 00:00:00+00:00,3,1,1,1
2026-06-12 00:00:00+00:00,1,1,2,2
2026-06-13 00:00:00+00:00,1,1,1,1
2026-06-14 00:00:00+00:00,9,6,5,4
2026-06-15 00:00:00+00:00,0,0,2,2
2026-06-16 00:00:00+00:00,31,20,8,4
2026-06-17 00:00:00+00:00,13,5,7,2
