referrer,views_total,views_unique
news.ycombinator.com,147,96
Google,43,14
discuss.pytorch.kr,27,8
github.com,6,6
hn.algolia.com,4,4
t.co,2,2
serializer.io,2,1
hnrankings.info,2,1
app.clickup.com,1,1
hacker-news.news,1,1
