time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-01 00:00:00+00:00,,,3,3
2024-09-02 00:00:00+00:00,2.0,2.0,16,3
2024-09-03 00:00:00+00:00,1.0,1.0,94,4
2024-09-04 00:00:00+00:00,1.0,1.0,70,10
2024-09-05 00:00:00+00:00,3.0,2.0,18,8
2024-09-06 00:00:00+00:00,16.0,7.0,52,5
2024-09-07 00:00:00+00:00,,,13,5
2024-09-08 00:00:00+00:00,1.0,1.0,138,7
2024-09-09 00:00:00+00:00,1.0,1.0,14,6
2024-09-10 00:00:00+00:00,1.0,1.0,32,3
2024-09-11 00:00:00+00:00,1.0,1.0,56,5
2024-09-12 00:00:00+00:00,,,4,4
2024-09-13 00:00:00+00:00,,,24,6
2024-09-14 00:00:00+00:00,,,1,1
