time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,6,5,2,2
2026-06-11 00:00:00+00:00,3,1,1,1
2026-06-12 00:00:00+00:00,1,1,2,2
2026-06-13 00:00:00+00:00,1,1,1,1
2026-06-14 00:00:00+00:00,9,6,5,4
2026-06-15 00:00:00+00:00,0,0,2,2
2026-06-16 00:00:00+00:00,31,20,8,4
2026-06-17 00:00:00+00:00,13,5,7,2
2026-06-18 00:00:00+00:00,95,38,3,3
2026-06-19 00:00:00+00:00,8,5,1,1
2026-06-20 00:00:00+00:00,29,5,0,0
2026-06-21 00:00:00+00:00,2,2,0,0
2026-06-22 00:00:00+00:00,3,3,6,5
2026-06-23 00:00:00+00:00,7,4,0,0
