referrer,views_total,views_unique
news.ycombinator.com,2814,2090
hckrnews.com,24,23
Google,19,11
github.com,15,15
discuss.pytorch.kr,12,4
linkedin.com,10,10
brutalist.report,8,8
devurls.com,7,2
hackerweb.app,6,6
hn.algolia.com,6,6
