time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,2,2,7,6
2026-04-04 00:00:00+00:00,7,5,3,3
2026-04-05 00:00:00+00:00,2,2,7,3
2026-04-06 00:00:00+00:00,2,2,5,5
2026-04-07 00:00:00+00:00,5,3,4,4
2026-04-08 00:00:00+00:00,2,2,9,4
2026-04-09 00:00:00+00:00,9,7,5,4
2026-04-10 00:00:00+00:00,6,6,5,4
2026-04-11 00:00:00+00:00,3,3,0,0
2026-04-12 00:00:00+00:00,2,2,1,1
2026-04-13 00:00:00+00:00,13,9,6,1
2026-04-14 00:00:00+00:00,11,7,3,3
2026-04-15 00:00:00+00:00,8,7,5,4
2026-04-16 00:00:00+00:00,11,7,6,5
