time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-09 00:00:00+00:00,1.0,1.0,6,4
2025-01-10 00:00:00+00:00,,,2,2
2025-01-11 00:00:00+00:00,,,1,1
2025-01-12 00:00:00+00:00,1.0,1.0,1,1
2025-01-13 00:00:00+00:00,,,9,4
2025-01-14 00:00:00+00:00,2.0,2.0,4,4
2025-01-15 00:00:00+00:00,,,6,3
2025-01-16 00:00:00+00:00,,,8,5
2025-01-17 00:00:00+00:00,1.0,1.0,20,6
2025-01-19 00:00:00+00:00,,,5,3
2025-01-20 00:00:00+00:00,,,8,4
2025-01-21 00:00:00+00:00,2.0,2.0,11,3
2025-01-22 00:00:00+00:00,,,5,3
