time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,0,0,5,4
2026-03-09 00:00:00+00:00,1,1,6,5
2026-03-10 00:00:00+00:00,1,1,5,1
2026-03-11 00:00:00+00:00,1,1,21,5
2026-03-12 00:00:00+00:00,4,2,1,1
2026-03-13 00:00:00+00:00,3,2,4,2
2026-03-14 00:00:00+00:00,2,2,1,1
2026-03-15 00:00:00+00:00,2,2,0,0
2026-03-16 00:00:00+00:00,3,3,4,3
2026-03-17 00:00:00+00:00,0,0,3,2
2026-03-18 00:00:00+00:00,1,1,1,1
2026-03-19 00:00:00+00:00,2,1,4,3
2026-03-20 00:00:00+00:00,0,0,1,1
2026-03-21 00:00:00+00:00,2,1,1,1
