time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,11,5,2,2
2026-05-26 00:00:00+00:00,8,7,2,2
2026-05-27 00:00:00+00:00,5,4,6,5
2026-05-28 00:00:00+00:00,14,10,3,3
2026-05-29 00:00:00+00:00,3,3,3,2
2026-05-30 00:00:00+00:00,7,6,4,3
2026-05-31 00:00:00+00:00,2,2,0,0
2026-06-01 00:00:00+00:00,4,3,5,4
2026-06-02 00:00:00+00:00,14,7,1,1
2026-06-03 00:00:00+00:00,2,1,3,2
2026-06-04 00:00:00+00:00,21,9,1,1
2026-06-05 00:00:00+00:00,8,4,4,4
2026-06-06 00:00:00+00:00,18,14,1,1
2026-06-07 00:00:00+00:00,0,0,3,1
