time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-07 00:00:00+00:00,1.0,1.0,1,1
2024-05-09 00:00:00+00:00,20.0,19.0,3297,2394
2024-05-10 00:00:00+00:00,10.0,9.0,716,554
2024-05-11 00:00:00+00:00,3.0,3.0,108,93
2024-05-12 00:00:00+00:00,1.0,1.0,73,53
2024-05-13 00:00:00+00:00,,,67,43
2024-05-14 00:00:00+00:00,1.0,1.0,16,14
2024-05-15 00:00:00+00:00,,,36,22
2024-05-16 00:00:00+00:00,6.0,4.0,20,17
2024-05-17 00:00:00+00:00,,,9,8
2024-05-18 00:00:00+00:00,,,10,9
2024-05-19 00:00:00+00:00,1.0,1.0,1,1
2024-05-20 00:00:00+00:00,,,20,10
