time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,2,2,1,1
2026-09-05 00:00:00+00:00,1,1,3,3
2026-09-06 00:00:00+00:00,1,1,5,5
2026-09-07 00:00:00+00:00,4,3,3,3
2026-09-08 00:00:00+00:00,54,16,11,5
2026-09-09 00:00:00+00:00,48,19,5,5
2026-09-10 00:00:00+00:00,60,17,2,2
2026-09-11 00:00:00+00:00,25,10,3,2
2026-09-12 00:00:00+00:00,13,9,1,1
2026-09-13 00:00:00+00:00,11,6,1,1
2026-09-14 00:00:00+00:00,3,3,1,1
2026-09-15 00:00:00+00:00,7,5,4,3
2026-09-16 00:00:00+00:00,2,2,2,2
2026-09-17 00:00:00+00:00,9,7,6,5
